profile,gps,pc,pmd,pr,pph_float,ppr_float,pph_encoded,ppr_encoded,pph_onchain,ppr_onchain,delta_pph,delta_ppr,decision_consistent_pph,decision_consistent_ppr,within_bound_pph,within_bound_ppr,claim_id,bn_instance_id,snapshot_block,run_id
neutral,0,0,0,0,0.021657149014114856,0.5996121107639263,21657,599612,0.021657,0.599612,1.490141148564883e-07,1.1076392625319897e-07,True,True,True,True,29,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033004,1781135099
neutral,0,0,0,1,0.16281932902431515,0.672514619883041,162819,672515,0.162819,0.672515,3.2902431515435815e-07,3.801169590200715e-07,True,True,True,True,30,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033006,1781135099
neutral,0,0,1,0,0.47993216506500846,0.6698699830412662,479932,669870,0.479932,0.66987,1.6506500843949112e-07,1.6958733750627175e-08,True,True,True,True,31,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033008,1781135099
neutral,0,0,1,1,0.8963346908552388,0.5794150314698259,896335,579415,0.896335,0.579415,3.0914476123466983e-07,3.1469825856333955e-08,True,True,True,True,32,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033010,1781135099
neutral,0,1,0,0,0.12201082213300748,0.3220457322394833,122011,322046,0.122011,0.322046,1.7786699250954552e-07,2.6776051670340806e-07,True,True,True,True,33,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033012,1781135099
neutral,0,1,0,1,0.5899431307991618,0.4803950912900329,589943,480395,0.589943,0.480395,1.307991618348936e-07,9.129003286645343e-08,True,True,True,True,34,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033014,1781135099
neutral,0,1,1,0,0.873689868314969,0.5119591507659232,873690,511959,0.87369,0.511959,1.316850309907025e-07,1.5076592319029913e-07,True,True,True,True,35,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033016,1781135099
neutral,0,1,1,1,0.9872661377216183,0.4060143011068665,987266,406014,0.987266,0.406014,1.3772161833180974e-07,3.011068664959815e-07,True,True,True,True,36,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033018,1781135099
neutral,1,0,0,0,0.021657149014114856,0.5996121107639263,21657,599612,0.021657,0.599612,1.490141148564883e-07,1.1076392625319897e-07,True,True,True,True,37,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033020,1781135099
neutral,1,0,0,1,0.16281932902431515,0.672514619883041,162819,672515,0.162819,0.672515,3.2902431515435815e-07,3.801169590200715e-07,True,True,True,True,38,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033022,1781135099
neutral,1,0,1,0,0.47993216506500846,0.6698699830412662,479932,669870,0.479932,0.66987,1.6506500843949112e-07,1.6958733750627175e-08,True,True,True,True,39,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033024,1781135099
neutral,1,0,1,1,0.8963346908552388,0.5794150314698259,896335,579415,0.896335,0.579415,3.0914476123466983e-07,3.1469825856333955e-08,True,True,True,True,40,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033026,1781135099
neutral,1,1,0,0,0.12201082213300748,0.3220457322394833,122011,322046,0.122011,0.322046,1.7786699250954552e-07,2.6776051670340806e-07,True,True,True,True,41,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033028,1781135099
neutral,1,1,0,1,0.5899431307991618,0.4803950912900329,589943,480395,0.589943,0.480395,1.307991618348936e-07,9.129003286645343e-08,True,True,True,True,42,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033031,1781135099
neutral,1,1,1,0,0.873689868314969,0.5119591507659232,873690,511959,0.87369,0.511959,1.316850309907025e-07,1.5076592319029913e-07,True,True,True,True,43,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033033,1781135099
neutral,1,1,1,1,0.9872661377216183,0.4060143011068665,987266,406014,0.987266,0.406014,1.3772161833180974e-07,3.011068664959815e-07,True,True,True,True,44,0x969012beb2a172335a35fee04a09e1bfb94fa91e22dfc923c1097577076b7290,11033035,1781135099
