network,bn_size_config,transaction_type,transaction_hash,gas_used,block_number,claim_id,profile,notes
Sepolia,4,CPTStore_init,a906de1bb5dc27758d3a92bad566d295ca3c8d18b192a2c30490fdddfb7c5ab6,73781,10930913,,neutral,setPriors
Sepolia,4,CPTStore_init,ce3dfd2e78578785659614bf37f7f768543d180cbd0b3edde27eea5958f38eb0,96181,10930914,,neutral,"setEvidenceCPT(0,0,0)"
Sepolia,4,CPTStore_init,82973e0ffacf9a969d5816594733ebdf03e75d0f9bac644baf9e22753ea35580,96193,10930915,,neutral,"setEvidenceCPT(0,0,1)"
Sepolia,4,CPTStore_init,3bf20f8575cce52e444ec21a2f3cc9a1da6b766ee6843d0dc5d58f43f3b1d0c5,96193,10930916,,neutral,"setEvidenceCPT(0,1,0)"
Sepolia,4,CPTStore_init,94e50df4c9c9c70493fa343f01e5e4ef29404a998cba0afc0be254b9825cda15,96205,10930917,,neutral,"setEvidenceCPT(0,1,1)"
Sepolia,4,CPTStore_init,bded1b62e7f28f8d8fccc8f2c621a101486508e841c6f761a5e88b8f1abd7d4e,96193,10930918,,neutral,"setEvidenceCPT(1,0,0)"
Sepolia,4,CPTStore_init,e831bb525672f5bcb6fb852aa2cc2395d6410e8092f658bd98686ad5079c1da2,96205,10930919,,neutral,"setEvidenceCPT(1,0,1)"
Sepolia,4,CPTStore_init,e45c96785caa69a5913b6d228340e92a6c2b756927d3471593e0a2756c4ca9e2,96205,10930920,,neutral,"setEvidenceCPT(1,1,0)"
Sepolia,4,CPTStore_init,277276e6d94a99f9a7813c030bb73b53b3b2732a5be0cc34061c8b267e2c6a7b,96217,10930921,,neutral,"setEvidenceCPT(1,1,1)"
Sepolia,4,CPTStore_init,d218ebf212999a2b62f89c5aa559f4543ee2d4287f2c0068daf2fd96d31c453f,96193,10930922,,neutral,"setEvidenceCPT(2,0,0)"
Sepolia,4,CPTStore_init,b5a065a9f2be509bf8ba63d85a33761314e1235b56abf93b66f0ea7a8d14a6a9,96205,10930923,,neutral,"setEvidenceCPT(2,0,1)"
Sepolia,4,CPTStore_init,3ac20f55df54af2aa9408bbe7c232a7a0c4b27a180d4c210ec10a2b23ddee2c7,96205,10930924,,neutral,"setEvidenceCPT(2,1,0)"
Sepolia,4,CPTStore_init,d8dc51f301fdd39f7f0bc0977626bfc3ba4dd0bb02992891fbddfebb90557bef,96217,10930925,,neutral,"setEvidenceCPT(2,1,1)"
Sepolia,4,CPTStore_init,ffe443f8de49023efda3a4dfe0ab10383eb16a64c50521b253500e67e6136aa4,96193,10930926,,neutral,"setEvidenceCPT(3,0,0)"
Sepolia,4,CPTStore_init,c50b97504b3926e8b1cde9a8880413f74494fe8bba3edf3452e9b7c5695c8bec,96205,10930927,,neutral,"setEvidenceCPT(3,0,1)"
Sepolia,4,CPTStore_init,3f2906991187aba3a536430ba80b773a9d0031868dec45b240a39df34125367d,96205,10930928,,neutral,"setEvidenceCPT(3,1,0)"
Sepolia,4,CPTStore_init,b65424523ec6c47d9eef528ee50301688742361fada59a8a8543f19f67bfc57c,96217,10930929,,neutral,"setEvidenceCPT(3,1,1)"
Sepolia,4,CPTStore_init,1060b8c7c946b9d847d05173ffdd4b348c3020c45e304e74bc9e5ea7ed513bc8,80726,10930930,,asymmetric,setPriors
Sepolia,4,CPTStore_init,4aa4992b3e3674441bf1bc54bccf1677a78a07d9045bf7b068dbafb6e89bdcfe,79195,10930931,,asymmetric,"setEvidenceCPT(0,1,0)"
Sepolia,4,CPTStore_init,b35d22701d69573ea903c0c648b2f4d25f67d7bb7fd5377b65576f9ce809f4d2,79195,10930932,,asymmetric,"setEvidenceCPT(0,0,1)"
Sepolia,4,CPTStore_init,93ad1afbd220b9c4a404022c98b6a7068d791eb6c113f21ae72b8441ea90e0ce,79195,10930933,,asymmetric,"setEvidenceCPT(0,1,1)"
