target_offset,target_side,actual_side,prior_pph,posterior_pph,dist_from_tau,tau,evidence,encoded_scale_100,decoded_scale_100,consistent_scale_100,within_eps_scale_100,encoded_scale_1000,decoded_scale_1000,consistent_scale_1000,within_eps_scale_1000,encoded_scale_10000,decoded_scale_10000,consistent_scale_10000,within_eps_scale_10000,encoded_scale_1000000,decoded_scale_1000000,consistent_scale_1000000,within_eps_scale_1000000,soundness_verified_scale_1e6,tightness_demonstrated_scale_1e6,failure_one_sided_below_tau,deployment_id,bn_instance_id
0.01,above,above,0.17559872957738415,0.51,0.010000000000000009,0.5,GPS=1|PC=0|PMD=1|PR=0,51,0.51,True,False,510,0.51,True,False,5100,0.51,True,False,510000,0.51,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
0.01,below,below,0.1643149749658625,0.49,0.010000000000000009,0.5,GPS=1|PC=0|PMD=1|PR=0,49,0.49,True,False,490,0.49,True,False,4900,0.49,True,False,490000,0.49,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
0.001,above,above,0.17044718814585275,0.5009999999999999,0.0009999999999998899,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,501,0.501,True,False,5010,0.501,True,False,501000,0.501,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
0.001,below,below,0.16931900746590617,0.49899999999999994,0.0010000000000000564,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,499,0.499,True,False,4990,0.499,True,False,499000,0.499,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
0.0001,above,above,0.1699387693264343,0.5001,9.999999999998899e-05,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5001,0.5001,True,False,500100,0.5001,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
0.0001,below,below,0.1698259514531869,0.4998999999999999,0.00010000000000010001,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,4999,0.4999,True,False,499900,0.4999,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-05,above,above,0.16988799390922776,0.50001,9.99999999995449e-06,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5000,0.5,True,True,500010,0.50001,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-05,below,below,0.16987671212209776,0.4999899999999998,1.0000000000176534e-05,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,499990,0.49999,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-06,above,above,0.16988291703127772,0.500001,1.0000000000287557e-06,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5000,0.5,True,True,500001,0.500001,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-06,below,below,0.16988178885256489,0.49999899999999986,1.000000000139778e-06,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,499999,0.499999,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
5e-07,above,above,0.16988263498604084,0.5000005,4.999999999588667e-07,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5000,0.5,True,True,500000,0.5,True,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
5e-07,below,below,0.16988207089668445,0.4999994999999999,5.000000001254001e-07,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,499999,0.499999,True,False,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-07,above,above,0.1698824093501195,0.5000000999999998,9.999999983634211e-08,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5000,0.5,True,True,500000,0.5,True,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-07,below,below,0.1698822965322483,0.4999999,1.0000000000287557e-07,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,500000,0.5,False,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-08,above,above,0.16988235858207013,0.50000001,1.0000000050247593e-08,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5000,0.5,True,True,500000,0.5,True,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-08,below,below,0.169882347300283,0.4999999900000001,9.999999883714139e-09,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,500000,0.5,False,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-09,above,above,0.16988235350526576,0.5000000009999999,9.99999860695766e-10,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,True,True,500,0.5,True,True,5000,0.5,True,True,500000,0.5,True,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
1e-09,below,below,0.16988235237708704,0.49999999899999986,1.0000001382515222e-09,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,500000,0.5,False,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
0.0,above,below,0.16988235294117643,0.49999999999999983,1.6653345369377348e-16,0.5,GPS=1|PC=0|PMD=1|PR=0,50,0.5,False,True,500,0.5,False,True,5000,0.5,False,True,500000,0.5,False,True,True,True,True,0x71668f737d859d977DA13f952f3F0B03DC00ca01,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5
