profile,gps,pc,pmd,pr,pph_float,ppr_float,pph_encoded,ppr_encoded,pph_onchain,ppr_onchain,delta_pph,delta_ppr,decision_consistent_pph,decision_consistent_ppr,within_bound_pph,within_bound_ppr,claim_id,bn_instance_id,snapshot_block,run_id,deployment_id
asymmetric,0,0,0,0,0.0021094948204835604,0.656063358127313,2109,656063,0.002109,0.656063,4.948204835601884e-07,3.581273130270901e-07,True,True,True,True,29,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469304,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,0,0,1,0.01643453567214484,0.7206411219068802,16435,720641,0.016435,0.720641,4.643278551617891e-07,1.219068802571499e-07,True,True,True,True,30,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469306,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,0,1,0,0.07097365551464196,0.7229325031211973,70974,722933,0.070974,0.722933,3.444853580308882e-07,4.968788027692739e-07,True,True,True,True,31,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469308,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,0,1,1,0.38008849054243105,0.799770243064639,380088,799770,0.380088,0.79977,4.905424310641671e-07,2.430646389717239e-07,True,True,True,True,32,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469310,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,1,0,0,0.028512129563471805,0.7347487326052193,28512,734749,0.028512,0.734749,1.2956347180542727e-07,2.6739478065085365e-07,True,True,True,True,33,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469312,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,1,0,1,0.18905169525086052,0.7985804368355317,189052,798580,0.189052,0.79858,3.04749139479199e-07,4.3683553174744816e-07,True,True,True,True,34,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469314,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,1,1,0,0.5195329960129446,0.8116250379932417,519533,811625,0.519533,0.811625,3.987055463561262e-09,3.7993241663869526e-08,True,True,True,True,35,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469316,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,0,1,1,1,0.8990434183760803,0.7675542480902204,899043,767554,0.899043,0.767554,4.183760802245473e-07,2.480902204782254e-07,True,True,True,True,36,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469318,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,0,0,0,0.05481363792511165,0.7597260391617999,54814,759726,0.054814,0.759726,3.6207488834927304e-07,3.916179991403368e-08,True,True,True,True,37,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469320,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,0,0,1,0.3161399324190022,0.8156927052275889,316140,815693,0.31614,0.815693,6.758099779791138e-08,2.947724111468375e-07,True,True,True,True,38,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469322,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,0,1,0,0.6830604835947668,0.8127268991026781,683060,812727,0.68306,0.812727,4.835947667869434e-07,1.0089732183082845e-07,True,True,True,True,39,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469324,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,0,1,1,0.9471860221652647,0.7340890220569654,947186,734089,0.947186,0.734089,2.2165264734752554e-08,2.2056965365280234e-08,True,True,True,True,40,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469326,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,1,0,0,0.44883899987842935,0.8212100336345585,448839,821210,0.448839,0.82121,1.2157064244178173e-10,3.3634558471717924e-08,True,True,True,True,41,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469328,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,1,0,1,0.8699996990037022,0.7595641573608644,870000,759564,0.87,0.759564,3.009962977751357e-07,1.5736086433904006e-07,True,True,True,True,42,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469330,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,1,1,0,0.9696054370398339,0.7128773100077612,969605,712877,0.969605,0.712877,4.3703983387821665e-07,3.100077612394614e-07,True,True,True,True,43,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469332,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
asymmetric,1,1,1,1,0.9964489740772557,0.5877037123898429,996449,587704,0.996449,0.587704,2.5922744284478938e-08,2.8761015713474336e-07,True,True,True,True,44,0x7497ecdac61fd9d1a089b81f068b50d5e136eb9b0d69d320c59b15cdb18772e5,11469334,1786489939,0x71668f737d859d977DA13f952f3F0B03DC00ca01
